Period,Platform,Format,Rating,Games,Notes
2026-Aug,FIDE,Standard,1699,3,Active
2026-Aug,FIDE,Rapid,1670,0,Active
2026-Aug,FIDE,Blitz,1741,0,Inactive
2026-Aug,Lichess,Bullet,2011,763 (total),Confirmed rating
2026-Aug,Lichess,Blitz,1944,1546 (total),Confirmed; Global Rank #80769
2026-Aug,Lichess,Rapid,2105,656 (total),Highest format
2026-Aug,Lichess,Puzzles,2433,278 puzzles (total),Strong tactical rating
2026-Aug,Lichess,UltraBullet,1250,25 (total),Provisional
2026-Jul,FIDE,Standard,1686,0,
2026-Jul,FIDE,Rapid,1670,7,
2026-Jul,FIDE,Blitz,1741,0,
2026-Jun,FIDE,Standard,1686,0,
2026-Jun,FIDE,Rapid,1616,0,
2026-Jun,FIDE,Blitz,1741,0,
2026-May,FIDE,Standard,1686,0,
2026-Apr,FIDE,Standard,1686,0,
2026-Mar,FIDE,Standard,1686,0,
2026-Feb,FIDE,Standard,1686,0,
2026-Jan,FIDE,Standard,1686,0,
2025-Dec,FIDE,Standard,1686,0,
2025-Nov,FIDE,Standard,1686,0,
2025-Oct,FIDE,Standard,1686,0,
2025-Sep,FIDE,Standard,1686,0,
2025-Aug,FIDE,Standard,1686,0,
2025-Jul,FIDE,Standard,1686,0,
2025-Jun,FIDE,Standard,1686,0,
2025-May,FIDE,Standard,1686,0,
2025-Apr,FIDE,Standard,1686,0,
2025-Mar,FIDE,Standard,1686,6,
2025-Feb,FIDE,Standard,1658,0,
2025-Jan,FIDE,Standard,1658,0,
2024-Dec,FIDE,Standard,1658,0,
2024-Nov,FIDE,Standard,1658,0,
2024-Oct,FIDE,Standard,1658,0,
2024-Sep,FIDE,Standard,1658,0,
2024-Aug,FIDE,Standard,1658,0,
2024-Jul,FIDE,Standard,1658,0,
2024-Jun,FIDE,Standard,1658,0,
2024-May,FIDE,Standard,1658,0,
2024-Apr,FIDE,Standard,1658,0,
2024-Mar,FIDE,Standard,1658,0,
2024-Feb,FIDE,Standard,1430,0,Large jump after this
2024-Feb,FIDE,Rapid,1360,0,
2024-Feb,FIDE,Blitz,1568,0,
2024-Jan,FIDE,Standard,1430,0,
2023-Dec,FIDE,Standard,1430,0,
2023-Nov,FIDE,Standard,1430,0,
2023-Oct,FIDE,Standard,1430,0,
2023-Sep,FIDE,Standard,1430,0,
2023-Aug,FIDE,Standard,1430,0,
2023-Aug,FIDE,Blitz,1741,4,Peak blitz rating; last blitz activity
2023-Jul,FIDE,Standard,1430,0,
2023-Jul,FIDE,Blitz,1570,0,
2023-Jun,FIDE,Standard,1430,0,
2023-May,FIDE,Standard,1430,0,
2023-Apr,FIDE,Standard,1430,0,
2023-Apr,FIDE,Rapid,1361,2,
2023-Apr,FIDE,Blitz,1570,7,
2023-Mar,FIDE,Standard,1430,7,First 7 Standard games
2023-Mar,FIDE,Rapid,1361,0,
2023-Mar,FIDE,Blitz,1430,0,First FIDE blitz rating
2023-Feb,FIDE,Standard,1340,0,First ever FIDE Standard rating
2023-Feb,FIDE,Rapid,1361,0,First ever FIDE Rapid rating
